Date,Open,High,Low,Close,Price,Volume
1/2/2020,61.599998,61.599998,60.639999,61.18,61.18,486873
1/3/2020,61.18,64.089996,61.130001,63.049999,63.049999,885861
1/5/2020,null,null,null,null,null,null
1/6/2020,63.709999,64.720001,62.639999,63.27,63.27,724236
1/7/2020,62.91,63.150002,62.110001,62.700001,62.700001,582649
1/8/2020,62.84,65.650002,59.150002,59.610001,59.610001,1205710
1/9/2020,59.990002,60.310001,58.66,59.560001,59.560001,750933
1/10/2020,59.610001,59.779999,58.849998,59.040001,59.040001,596186
1/12/2020,null,null,null,null,null,null
1/13/2020,59.040001,59.27,57.91,58.080002,58.080002,584002
1/14/2020,58.029999,58.720001,57.720001,58.23,58.23,507714
1/15/2020,58.200001,58.360001,57.360001,57.810001,57.810001,433169
1/16/2020,58.099998,58.869999,57.560001,58.52,58.52,182871
1/17/2020,58.59,58.98,58.27,58.540001,58.540001,122561
1/19/2020,null,null,null,null,null,null
1/21/2020,59.169998,59.73,57.68,58.34,58.34,648335
1/22/2020,58.259998,58.380001,56.029999,56.740002,56.740002,620119
1/23/2020,56.110001,56.27,54.77,55.59,55.59,703995
1/24/2020,55.689999,55.950001,53.849998,54.189999,54.189999,586195
1/26/2020,null,null,null,null,null,null
1/27/2020,53.700001,53.709999,52.130001,53.139999,53.139999,712880
1/28/2020,52.77,54.060001,52.68,53.48,53.48,633963
1/29/2020,53.970001,54.369999,52.810001,53.330002,53.330002,624979
1/30/2020,53.09,53.200001,51.66,52.139999,52.139999,720123
1/31/2020,52.919998,53.360001,50.970001,51.560001,51.560001,827907
2/2/2020,null,null,null,null,null,null
2/3/2020,51.009998,51.970001,49.799999,50.110001,50.110001,876044
2/4/2020,49.939999,51.549999,49.310001,49.610001,49.610001,859357
2/5/2020,49.509998,51.880001,49.470001,50.75,50.75,887946
2/6/2020,51.169998,52.200001,50.240002,50.950001,50.950001,750659
2/7/2020,51.110001,51.48,50.09,50.32,50.32,768345
2/9/2020,null,null,null,null,null,null
2/10/2020,50.119999,50.490002,49.419998,49.57,49.57,715894
2/11/2020,49.610001,50.689999,49.580002,49.939999,49.939999,725733
2/12/2020,49.959999,51.73,49.950001,51.169998,51.169998,795256
2/13/2020,51.720001,51.959999,50.599998,51.419998,51.419998,745400
2/14/2020,51.509998,52.34,51.32,52.049999,52.049999,607343
2/16/2020,null,null,null,null,null,null
2/18/2020,52.23,52.41,50.880001,52.049999,52.049999,221774
2/19/2020,52.119999,53.66,51.93,53.290001,53.290001,113683
2/20/2020,53.5,54.5,53.220001,53.779999,53.779999,676179
2/21/2020,53.740002,53.860001,52.549999,53.380001,53.380001,707555
2/23/2020,null,null,null,null,null,null
2/24/2020,52.599998,52.639999,50.450001,51.43,51.43,765515
2/25/2020,51.369999,52.02,49.689999,49.900002,49.900002,764989
2/26/2020,50.080002,50.439999,48.299999,48.73,48.73,884482
2/27/2020,48.630001,48.779999,45.880001,47.09,47.09,1011915
2/28/2020,46.490002,47.029999,43.849998,44.759998,44.759998,1101659
3/1/2020,null,null,null,null,null,null
3/2/2020,43.700001,47.560001,43.32,46.75,46.75,949471
3/3/2020,47.720001,48.66,46.470001,47.18,47.18,1011933
3/4/2020,46.939999,48.41,46.650002,46.779999,46.779999,745856
3/5/2020,47.130001,47.57,45.650002,45.900002,45.900002,704591
3/6/2020,46.09,46.380001,41.049999,41.279999,41.279999,1276180
3/8/2020,32.869999,33.59,30,32.5,32.5,9423555
3/9/2020,32.869999,34.880001,27.34,31.129999,31.129999,1774383
3/10/2020,30.370001,35.02,30.200001,34.360001,34.360001,1064632
3/11/2020,34.619999,36.349998,32.560001,32.98,32.98,874646
3/12/2020,33.07,33.630001,30.02,31.5,31.5,1025036
3/13/2020,30.77,33.869999,30.33,31.73,31.73,743129
3/15/2020,33.75,33.75,29.75,30.389999,30.389999,3617072
3/16/2020,33.75,33.75,28.1,28.700001,28.700001,698829
